SKU*,Parent SKU,Parent SKU Colour,Name,Brand,Description(No html),Features,Specifications,Specifics,Date Added,In Stock,In Promotion,UPC/EAN,Type,"All Variation SKUs (Delimited by “,”)",Image URL,Product URL,RRP,"Current Price (A - if on promotion, promotion price used)",Product Category Full Path List
100389-2227-001-XL,100389-1260,100389-1260-Black,Mons Royale Icon Classic Mens Merino Long Sleeve T-Shirt - Black - XL,Mons Royale,,,,Eco Friendly:Yes;B Corp:Yes;Best Use:Hiking;Gender:Men;Colours:Black;Shirt Type:Long Sleeve;Size:XL;Clothing Type:Casual;Natural Fibre:Yes;Colour:Black,2025-09-11 00:00:00,y,1,9420070065906,T-Shirts,,https://www.wildearth.com.au/assets/full/100389-2227-001-XL.webp,https://www.wildearth.com.au/buy/mons-royale-mens-icon-merino-classic-long-sleeve-b/100389-2227-001-XL,119.95,105.95,All Products > Clothing > Tops > T-Shirts
100389-2227-001-XXL,100389-1260,100389-1260-Black,Mons Royale Icon Classic Mens Merino Long Sleeve T-Shirt - Black - XXL,Mons Royale,,,,Eco Friendly:Yes;B Corp:Yes;Best Use:Hiking;Gender:Men;Colours:Black;Shirt Type:Long Sleeve;Size:XXL;Clothing Type:Casual;Natural Fibre:Yes;Colour:Black,2025-09-11 00:00:00,y,1,9420070065913,T-Shirts,,https://www.wildearth.com.au/assets/full/100389-2227-001-XXL.webp,https://www.wildearth.com.au/buy/mons-royale-mens-icon-merino-classic-long-sleeve-b/100389-2227-001-XXL,119.95,105.95,All Products > Clothing > Tops > T-Shirts
100414-1169,,100414-1169,Mons Royale Unisex Decade Wool Fleece Hood,Mons Royale,Full face protection for the coldest days. Protect your head in this wind resistant merino hood with integrated &#39;storm&#39; face mask and head hugging cinch.,"<ul>
	<li>Integrated 'storm' facemask with ripstop overlay</li>
	<li>Relaxed hood fit</li>
	<li>Brushed merino interior</li>
</ul>
","<p>Fit: Standard<br />
Fabric: Merino Fleece<br />
Weight: 265gsm<br />
Blend: 59% Recycled Polyester 36% Merino Wool 5% Elastane</p>
",Eco Friendly:Yes;B Corp:Yes;Best Use:Hiking;Gender:Unisex;Natural Fibre:Yes,2023-05-04 00:00:00,y,0,,Hats,"100414-1169-001-OS,100414-1169-134-OS,100414-1169-299-OS",https://www.wildearth.com.au/assets/full/100414-1169.png,https://www.wildearth.com.au/buy/mons-royale-unisex-decade-wool-fleece-hood/100414-1169,69.95,69.95,All Products > Clothing > Headwear > Balaclavas & Neckwear;All Products > Clothing > Headwear
100414-1169-001-OS,100414-1169,100414-1169-Black,Mons Royale Unisex Decade Wool Fleece Hood - Black - One Size,Mons Royale,Full face protection for the coldest days. Protect your head in this wind resistant merino hood with integrated storm face mask and head hugging cinch.,"<ul>
	<li>Integrated €˜storm' facemask with ripstop overlay</li>
	<li>Relaxed hood fit</li>
	<li>Brushed merino interior</li>
</ul>
","<p>Fit: Standard<br />
Fabric: Merino Fleece<br />
Weight: 265gsm<br />
Blend: 59% Recycled Polyester 36% Merino Wool 5% Elastane</p>
",Eco Friendly:Yes;B Corp:Yes;Best Use:Hiking;Gender:Unisex;Colours:Black;Natural Fibre:Yes;Colour:Black,2022-07-14 00:00:00,y,0,9420070009962,Neck Warmers,,https://www.wildearth.com.au/assets/full/100414-1169-001-OS.jpg,https://www.wildearth.com.au/buy/mons-royale-unisex-decade-wool-fleece-hood-black-o/100414-1169-001-OS,69.95,69.95,All Products > Clothing > Headwear > Balaclavas & Neckwear;All Products > Clothing > Headwear
100443-1166,,100443-1166,Mons Royale Icon Womens Merino Tank Top,Mons Royale,"Icon is the perfect year-round staple. It excels both on and off the mountain, in all conditions.","<ul>
	<li>Anti odour</li>
	<li>Temperature regulating</li>
	<li>Breathable</li>
	<li>Straight hem</li>
</ul>
","<p><b>Fit:</b> Relaxed<br />
<b>Type:</b> Merino Air-Con<br />
<b>Weight:</b> 140gsm<br />
<b>Blend:</b> 83% Merino Wool, 13% Nylon, 4% Elastane</p>
",Eco Friendly:Yes;B Corp:Yes;Best Use:Everyday;Gender:Women;Clothing Type:Casual;Natural Fibre:Yes,2025-09-11 00:00:00,y,1,,Singlets,"100443-1166-926-L,100443-1166-926-M,100443-1166-926-S,100443-1166-926-XL",https://www.wildearth.com.au/assets/full/100443-1166.webp,https://www.wildearth.com.au/buy/mons-royale-icon-womens-merino-tank-top/100443-1166,99.95,86.95,All Products > Clothing > Tops > Singlets
100443-1166-926-L,100443-1166,100443-1166-Black/Black,Mons Royale Icon Womens Merino Tank Top - Black Daisy - L,Mons Royale,,,,Eco Friendly:Yes;B Corp:Yes;Best Use:Everyday;Gender:Women;Colours:Black Daisy;Size:L;Clothing Type:Casual;Natural Fibre:Yes;Colour:Black/Black,2025-09-11 00:00:00,y,1,9420070082040,Singlets,,https://www.wildearth.com.au/assets/full/100443-1166-926-L.webp,https://www.wildearth.com.au/buy/mons-royale-womens-icon-merino-tank-black-daisy-l/100443-1166-926-L,99.95,86.95,All Products > Clothing > Tops > Singlets
100443-1166-926-M,100443-1166,100443-1166-Black/Black,Mons Royale Icon Womens Merino Tank Top - Black Daisy - M,Mons Royale,,,,Eco Friendly:Yes;B Corp:Yes;Best Use:Everyday;Gender:Women;Colours:Black Daisy;Size:M;Clothing Type:Casual;Natural Fibre:Yes;Colour:Black/Black,2025-09-11 00:00:00,y,1,9420070082033,Singlets,,https://www.wildearth.com.au/assets/full/100443-1166-926-M.webp,https://www.wildearth.com.au/buy/mons-royale-womens-icon-merino-tank-black-daisy-m/100443-1166-926-M,99.95,86.95,All Products > Clothing > Tops > Singlets
100443-1166-926-S,100443-1166,100443-1166-Black/Black,Mons Royale Icon Womens Merino Tank Top - Black Daisy - S,Mons Royale,,,,Eco Friendly:Yes;B Corp:Yes;Best Use:Everyday;Gender:Women;Colours:Black Daisy;Size:S;Clothing Type:Casual;Natural Fibre:Yes;Colour:Black/Black,2025-09-11 00:00:00,y,1,9420070082026,Singlets,,https://www.wildearth.com.au/assets/full/100443-1166-926-S.webp,https://www.wildearth.com.au/buy/mons-royale-womens-icon-merino-tank-black-daisy-s/100443-1166-926-S,99.95,86.95,All Products > Clothing > Tops > Singlets
100443-1166-926-XL,100443-1166,100443-1166-Black/Black,Mons Royale Icon Womens Merino Tank Top - Black Daisy - XL,Mons Royale,,,,Eco Friendly:Yes;B Corp:Yes;Best Use:Everyday;Gender:Women;Colours:Black Daisy;Size:XL;Clothing Type:Casual;Natural Fibre:Yes;Colour:Black/Black,2025-09-11 00:00:00,y,1,9420070082057,Singlets,,https://www.wildearth.com.au/assets/full/100443-1166-926-XL.webp,https://www.wildearth.com.au/buy/mons-royale-womens-icon-merino-tank-black-daisy-xl/100443-1166-926-XL,99.95,86.95,All Products > Clothing > Tops > Singlets
100447-1181,,100447-1181,Mons Royale Icon Relaxed Womens Tee,Mons Royale,"Icon is the perfect year round staple. It excels both on and off the mountain in all conditions. This simple design uses our ultra-lite Merino Air-Con fabric. Nature&#39;s climate control - It keeps you cool when you&#39;re hot, warm when its not. Pack less. Do more.","<ul>
	<li>Anti odour</li>
	<li>Temperature regulating</li>
	<li>Breathable</li>
	<li>Straight hem</li>
</ul>
","<p>Fit: Relaxed<br />
Fabric: Merino Air-Con<br />
Weight: 140gsm<br />
Blend: 83% Merino Wool 13% Nylon 4% Elastane</p>
",Eco Friendly:Yes;B Corp:Yes;Best Use:Hiking;Gender:Women;Shirt Type:Short Sleeve;Clothing Type:Casual;Natural Fibre:Yes,2023-06-15 00:00:00,y,1,,T-Shirts,"100447-1181-001-L,100447-1181-001-M,100447-1181-001-S,100447-1181-001-XL,100447-1181-001-XS,100447-1219-321-L,100447-1219-321-M,100447-1219-321-S,100447-1233-713-L,100447-1233-713-M,100447-1233-713-S,100447-1233-734-L,100447-1233-734-M,100447-1233-734-S,100447-1233-734-XL",https://www.wildearth.com.au/assets/full/100447-1181.jpg,https://www.wildearth.com.au/buy/mons-royale-icon-merino-relaxed-womens-tee/100447-1181,99.95,86.95,All Products > Clothing > Tops > T-Shirts
